IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,69,3.76
8.219.111.147,443,443,true,SIN,Asia Pacific,Singapore,115,3.76
8.210.101.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,3.76
47.242.107.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,49,3.75
8.217.159.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,113,3.75
8.219.237.250,8443,8443,true,SIN,Asia Pacific,Singapore,116,3.75
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,279,3.74
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,312,3.74
8.217.250.222,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,3.74
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,24,3.74
47.238.43.79,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,3.72
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,88,3.72
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,307,3.72
8.219.84.214,2083,2083,true,SIN,Asia Pacific,Singapore,92,3.72
47.243.18.199,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,3.71
8.218.3.12,2083,2083,true,HKG,Asia Pacific,Hong Kong,81,3.71
8.211.41.95,443,443,true,FRA,Europe,Frankfurt,259,3.71
8.219.199.220,2096,2096,true,SIN,Asia Pacific,Singapore,51,3.71
8.219.42.72,2087,2087,true,SIN,Asia Pacific,Singapore,143,3.70
47.236.144.196,2053,2053,true,SIN,Asia Pacific,Singapore,86,3.70
47.76.203.101,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,3.69
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,50,3.68
8.222.193.65,8443,8443,true,SIN,Asia Pacific,Singapore,97,3.68
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,3.67
47.237.125.8,2087,2087,true,SIN,Asia Pacific,Singapore,30,3.67
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,52,3.67
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,61,3.66
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,63,3.66
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,104,3.66
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,71,3.66
8.219.199.220,2087,2087,true,SIN,Asia Pacific,Singapore,123,3.64
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,71,3.64
8.218.53.110,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,3.63
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,65,3.62
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,57,3.61
8.219.210.64,2053,2053,true,SIN,Asia Pacific,Singapore,81,3.61
8.219.200.145,8443,8443,true,SIN,Asia Pacific,Singapore,42,3.61
8.219.199.220,2083,2083,true,SIN,Asia Pacific,Singapore,88,3.61
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,105,3.61
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,62,3.61
47.242.7.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,3.60
47.245.102.52,2096,2096,true,SIN,Asia Pacific,Singapore,90,3.60
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,3.59
8.219.161.129,2053,2053,true,SIN,Asia Pacific,Singapore,62,3.59
8.219.147.58,2096,2096,true,SIN,Asia Pacific,Singapore,97,3.59
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,25,3.58
8.218.201.73,8443,8443,true,HKG,Asia Pacific,Hong Kong,94,3.58
8.219.111.175,2083,2083,true,SIN,Asia Pacific,Singapore,81,3.58
8.217.66.3,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,3.57
8.217.159.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,56,3.57
47.243.26.83,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,3.57
8.211.32.165,443,443,true,FRA,Europe,Frankfurt,250,3.56
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,133,3.56
8.219.147.58,2083,2083,true,SIN,Asia Pacific,Singapore,50,3.55
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,54,3.55
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,189,3.55
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,44,3.55
47.242.54.157,2083,2083,true,HKG,Asia Pacific,Hong Kong,114,3.55
8.219.103.65,443,443,true,SIN,Asia Pacific,Singapore,98,3.54
47.245.96.80,2053,2053,true,SIN,Asia Pacific,Singapore,49,3.53
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,102,3.53
47.238.35.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,80,3.53
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,60,3.51
8.219.222.98,8443,8443,true,SIN,Asia Pacific,Singapore,63,3.51
8.210.119.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,3.50
8.222.249.190,2096,2096,true,SIN,Asia Pacific,Singapore,73,3.49
8.219.114.201,2096,2096,true,SIN,Asia Pacific,Singapore,130,3.48
8.217.193.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,3.47
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,3.47
8.218.222.36,2083,2083,true,HKG,Asia Pacific,Hong Kong,167,3.47
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,110,3.46
8.219.174.213,8443,8443,true,SIN,Asia Pacific,Singapore,61,3.46
8.219.147.58,2087,2087,true,SIN,Asia Pacific,Singapore,128,3.45
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,85,3.45
8.219.193.202,2083,2083,true,SIN,Asia Pacific,Singapore,143,3.44
8.222.215.228,2053,2053,true,SIN,Asia Pacific,Singapore,116,3.44
47.243.51.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,3.44
47.238.35.50,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,3.44
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,153,3.44
47.76.208.142,80,443,true,CGK,Asia Pacific,Jakarta,66,3.42
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,3.41
8.222.244.192,2083,2083,true,SIN,Asia Pacific,Singapore,100,3.41
8.210.164.75,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,3.40
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,36,3.40
47.236.113.184,443,443,true,SIN,Asia Pacific,Singapore,160,3.38
47.245.114.163,2096,2096,true,SIN,Asia Pacific,Singapore,53,3.38
8.219.147.58,2053,2053,true,SIN,Asia Pacific,Singapore,76,3.37
47.76.192.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,3.37
47.76.178.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,71,3.36
8.217.232.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,48,3.36
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,49,3.36
47.236.149.107,2053,2053,true,SIN,Asia Pacific,Singapore,71,3.36
8.219.174.142,443,443,true,SIN,Asia Pacific,Singapore,51,3.35
8.217.121.207,8443,8443,true,HKG,Asia Pacific,Hong Kong,239,3.34
8.219.111.147,2083,2083,true,SIN,Asia Pacific,Singapore,111,3.34
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,90,3.33
47.242.125.241,8443,8443,true,HKG,Asia Pacific,Hong Kong,112,3.33
8.219.210.64,2083,2083,true,SIN,Asia Pacific,Singapore,50,3.33
8.213.208.6,80,443,true,BKK,Asia Pacific,Bangkok,32,3.31
47.76.247.16,80,443,true,SIN,Asia Pacific,Singapore,41,3.30
8.219.198.34,2053,2053,true,SIN,Asia Pacific,Singapore,43,3.30
8.210.244.38,8443,8443,true,HKG,Asia Pacific,Hong Kong,47,3.29
8.219.170.232,8443,8443,true,SIN,Asia Pacific,Singapore,86,3.28
8.219.78.188,2087,2087,true,SIN,Asia Pacific,Singapore,29,3.28
8.219.199.220,443,443,true,SIN,Asia Pacific,Singapore,52,3.27
47.243.139.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,3.27
47.76.26.26,8443,8443,true,HKG,Asia Pacific,Hong Kong,294,3.26
8.219.99.169,2053,2053,true,SIN,Asia Pacific,Singapore,95,3.26
8.219.177.205,8443,8443,true,SIN,Asia Pacific,Singapore,77,3.26
8.210.156.6,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,3.25
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,24,3.25
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,17,3.24
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,39,3.23
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,98,3.23
8.219.78.1,2053,2053,true,SIN,Asia Pacific,Singapore,107,3.23
47.243.18.199,8443,8443,true,HKG,Asia Pacific,Hong Kong,342,3.21
47.236.9.152,8443,8443,true,SIN,Asia Pacific,Singapore,55,3.21
47.76.29.115,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,3.21
47.243.234.9,2053,2053,true,HKG,Asia Pacific,Hong Kong,369,3.20
47.243.42.219,2053,2053,true,HKG,Asia Pacific,Hong Kong,132,3.19
8.217.91.121,2096,2096,true,HKG,Asia Pacific,Hong Kong,84,3.18
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,23,3.18
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,143,3.17
47.238.5.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,52,3.16
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,58,3.15
47.76.203.101,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,3.15
8.210.9.129,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,3.15
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,100,3.14
8.217.250.5,2087,2087,true,HKG,Asia Pacific,Hong Kong,170,3.14
47.236.17.193,2096,2096,true,SIN,Asia Pacific,Singapore,88,3.13
8.222.181.117,443,443,true,SIN,Asia Pacific,Singapore,124,3.13
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,57,3.13
8.218.204.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,3.12
47.76.222.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,3.12
47.250.147.41,80,443,true,SIN,Asia Pacific,Singapore,41,3.12
47.236.75.152,2083,2083,true,SIN,Asia Pacific,Singapore,86,3.12
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,77,3.12
47.242.59.216,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,3.09
8.219.114.201,2053,2053,true,SIN,Asia Pacific,Singapore,166,3.09
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,3.08
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,55,3.08
47.242.171.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,68,3.07
47.236.123.133,2083,2083,true,SIN,Asia Pacific,Singapore,151,3.07
47.250.151.56,80,443,true,SIN,Asia Pacific,Singapore,40,3.07
8.222.184.198,8443,8443,true,SIN,Asia Pacific,Singapore,59,3.06
47.245.102.52,2053,2053,true,SIN,Asia Pacific,Singapore,54,3.05
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,105,3.05
47.76.225.255,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,3.05
47.243.27.217,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,3.04
47.76.204.76,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,3.04
8.210.203.7,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,3.04
47.236.117.48,443,443,true,SIN,Asia Pacific,Singapore,88,3.03
8.218.143.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,3.03
47.254.158.199,443,443,true,FRA,Europe,Frankfurt,256,3.03
8.222.136.247,2083,2083,true,SIN,Asia Pacific,Singapore,92,3.03
8.222.183.242,2087,2087,true,SIN,Asia Pacific,Singapore,89,3.03
8.219.142.191,2053,2053,true,SIN,Asia Pacific,Singapore,40,3.02
47.242.183.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,163,3.01
47.243.139.85,2083,2083,true,HKG,Asia Pacific,Hong Kong,134,3.01
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,55,3.01
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,65,2.99
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,225,2.99
8.218.173.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,2.98
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,38,2.96
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,2.96
8.210.203.7,2096,2096,true,HKG,Asia Pacific,Hong Kong,34,2.96
8.210.100.23,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,2.96
47.242.42.153,8443,8443,true,HKG,Asia Pacific,Hong Kong,91,2.96
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,42,2.95
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,96,2.94
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,52,2.94
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,2.94
8.220.202.59,443,443,true,ICN,Asia Pacific,Seoul,81,2.93
47.76.49.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,334,2.93
47.250.176.132,80,443,true,SIN,Asia Pacific,Singapore,61,2.92
