IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.237.90,2083,2083,true,SIN,Asia Pacific,Singapore,81,4.03
47.236.254.120,8443,8443,true,SIN,Asia Pacific,Singapore,64,4.01
8.219.78.1,2087,2087,true,SIN,Asia Pacific,Singapore,127,4.00
47.236.5.223,2087,2087,true,SIN,Asia Pacific,Singapore,76,4.00
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,4.00
8.218.142.253,2087,2087,true,HKG,Asia Pacific,Hong Kong,120,3.99
8.219.66.156,8443,8443,true,NRT,Asia Pacific,Tokyo,209,3.99
8.210.245.224,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,3.99
8.222.175.6,443,443,true,SIN,Asia Pacific,Singapore,69,3.99
47.243.86.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,42,3.98
8.222.134.170,2053,2053,true,SIN,Asia Pacific,Singapore,89,3.97
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,127,3.97
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,77,3.96
8.222.134.170,2083,2083,true,SIN,Asia Pacific,Singapore,58,3.96
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,50,3.96
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,128,3.96
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,3.95
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,36,3.95
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,53,3.93
8.219.126.240,2096,2096,true,SIN,Asia Pacific,Singapore,105,3.93
8.219.86.200,2087,2087,true,SIN,Asia Pacific,Singapore,72,3.93
8.222.134.170,2053,2053,true,SIN,Asia Pacific,Singapore,97,3.92
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,35,3.91
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,93,3.90
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,68,3.90
47.237.94.140,2087,2087,true,SIN,Asia Pacific,Singapore,96,3.89
47.236.202.91,2053,2053,true,SIN,Asia Pacific,Singapore,65,3.89
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,33,3.89
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,53,3.88
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,63,3.88
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,82,3.87
47.236.93.176,8443,8443,true,SIN,Asia Pacific,Singapore,77,3.87
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,32,3.86
8.222.146.222,8443,8443,true,SIN,Asia Pacific,Singapore,103,3.85
8.218.142.253,2053,2053,true,HKG,Asia Pacific,Hong Kong,89,3.85
8.219.93.5,2083,2083,true,SIN,Asia Pacific,Singapore,70,3.84
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,3.84
8.219.78.1,443,443,true,SIN,Asia Pacific,Singapore,129,3.84
8.218.143.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,3.83
47.236.170.54,2053,2053,true,SIN,Asia Pacific,Singapore,85,3.83
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,28,3.83
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,54,3.82
47.237.0.31,2087,2087,true,SIN,Asia Pacific,Singapore,122,3.82
47.236.180.51,2087,2087,true,SIN,Asia Pacific,Singapore,114,3.82
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,112,3.80
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,21,3.79
47.76.37.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,3.79
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,31,3.78
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,69,3.78
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,86,3.77
47.237.10.1,2096,2096,true,SIN,Asia Pacific,Singapore,33,3.76
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,57,3.76
47.236.75.113,2053,2053,true,SIN,Asia Pacific,Singapore,42,3.76
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,39,3.75
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,38,3.75
47.236.254.120,2096,2096,true,SIN,Asia Pacific,Singapore,55,3.75
47.236.144.196,8443,8443,true,SIN,Asia Pacific,Singapore,100,3.75
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,3.73
47.237.95.156,2087,2087,true,SIN,Asia Pacific,Singapore,128,3.73
8.219.110.81,2087,2087,true,SIN,Asia Pacific,Singapore,107,3.72
47.237.11.182,2087,2087,true,SIN,Asia Pacific,Singapore,40,3.71
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,56,3.70
8.210.203.7,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,3.69
8.218.74.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,70,3.69
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,68,3.68
8.219.78.1,2053,2053,true,SIN,Asia Pacific,Singapore,90,3.67
47.237.95.146,8443,8443,true,SIN,Asia Pacific,Singapore,160,3.67
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,189,3.67
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,43,3.67
47.236.237.90,2053,2053,true,SIN,Asia Pacific,Singapore,56,3.67
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,91,3.67
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,85,3.66
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,110,3.66
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,133,3.66
47.242.252.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,3.65
8.218.188.129,2083,2083,true,HKG,Asia Pacific,Hong Kong,94,3.65
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,54,3.65
47.237.10.1,2083,2083,true,SIN,Asia Pacific,Singapore,89,3.65
47.236.121.23,2087,2087,true,SIN,Asia Pacific,Singapore,162,3.65
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,19,3.64
47.237.14.220,2053,2053,true,SIN,Asia Pacific,Singapore,96,3.64
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,63,3.64
8.219.97.50,2087,2087,true,SIN,Asia Pacific,Singapore,106,3.63
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,3.63
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,110,3.63
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,83,3.61
47.245.114.163,2087,2087,true,SIN,Asia Pacific,Singapore,14,3.60
47.242.79.71,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,3.60
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,26,3.60
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,70,3.57
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,82,3.57
8.219.113.232,2053,2053,true,SIN,Asia Pacific,Singapore,109,3.57
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,90,3.56
47.237.86.185,2053,2053,true,SIN,Asia Pacific,Singapore,123,3.56
8.219.67.133,2053,2053,true,SIN,Asia Pacific,Singapore,58,3.55
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,74,3.55
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,62,3.55
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,26,3.54
8.218.243.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,57,3.52
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,62,3.52
47.237.94.140,2053,2053,true,SIN,Asia Pacific,Singapore,189,3.52
47.237.82.15,8443,8443,true,SIN,Asia Pacific,Singapore,66,3.52
47.243.60.150,2083,2083,true,HKG,Asia Pacific,Hong Kong,41,3.51
8.219.66.156,2053,2053,true,NRT,Asia Pacific,Tokyo,238,3.51
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,124,3.50
8.218.142.253,8443,8443,true,HKG,Asia Pacific,Hong Kong,91,3.50
8.219.78.1,2096,2096,true,SIN,Asia Pacific,Singapore,79,3.50
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,61,3.49
8.218.22.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,75,3.48
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,3.48
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,24,3.47
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,3.47
47.237.92.26,2087,2087,true,SIN,Asia Pacific,Singapore,45,3.46
47.236.144.208,2053,2053,true,SIN,Asia Pacific,Singapore,106,3.46
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,74,3.45
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,38,3.45
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,14,3.44
8.219.83.201,2096,2096,true,SIN,Asia Pacific,Singapore,51,3.44
8.210.9.129,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,3.43
8.219.174.142,2096,2096,true,SIN,Asia Pacific,Singapore,78,3.43
47.242.17.250,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,3.43
47.236.150.13,8443,8443,true,SIN,Asia Pacific,Singapore,27,3.42
8.219.67.133,2096,2096,true,SIN,Asia Pacific,Singapore,85,3.40
47.245.86.230,8443,8443,true,SIN,Asia Pacific,Singapore,26,3.40
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,136,3.40
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,51,3.39
47.236.172.95,2096,2096,true,SIN,Asia Pacific,Singapore,121,3.38
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,3.37
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,21,3.37
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,3.37
8.219.40.37,8443,8443,true,SIN,Asia Pacific,Singapore,93,3.36
47.243.74.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,3.36
8.217.149.28,2083,2083,true,HKG,Asia Pacific,Hong Kong,59,3.36
8.222.181.117,8443,8443,true,SIN,Asia Pacific,Singapore,116,3.35
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,115,3.35
