IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.242.157.96,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,5.01
8.222.137.192,2087,2087,true,SIN,Asia Pacific,Singapore,123,5.01
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,80,5.00
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,78,5.00
8.218.207.169,2083,2083,true,HKG,Asia Pacific,Hong Kong,53,4.99
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,67,4.99
8.218.126.53,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,4.99
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,4.98
47.236.168.17,2096,2096,true,SIN,Asia Pacific,Singapore,120,4.98
8.218.65.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,4.97
8.218.204.128,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,4.97
8.219.84.214,2087,2087,true,SIN,Asia Pacific,Singapore,59,4.96
8.218.211.17,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,4.96
8.219.201.8,2096,2096,true,SIN,Asia Pacific,Singapore,58,4.95
8.219.1.92,2096,2096,true,SIN,Asia Pacific,Singapore,34,4.95
8.210.101.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,4.94
8.210.66.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,91,4.93
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,49,4.92
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,75,4.92
8.217.91.121,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,4.91
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,75,4.89
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,144,4.89
47.236.17.193,8443,8443,true,SIN,Asia Pacific,Singapore,39,4.89
8.211.3.92,443,443,true,FRA,Europe,Frankfurt,247,4.88
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,37,4.88
47.243.139.243,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,4.88
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,79,4.88
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,56,4.87
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,4.87
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,72,4.87
8.218.126.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,4.84
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,4.84
47.236.75.113,2053,2053,true,SIN,Asia Pacific,Singapore,62,4.84
47.236.121.23,2083,2083,true,SIN,Asia Pacific,Singapore,43,4.84
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,62,4.83
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,50,4.83
47.88.15.127,443,443,true,SJC,North America,San Jose,177,4.82
8.222.244.192,8443,8443,true,SIN,Asia Pacific,Singapore,80,4.81
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,33,4.80
8.218.211.17,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,4.80
8.209.105.214,443,443,true,FRA,Europe,Frankfurt,264,4.80
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,4.79
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,84,4.79
8.210.55.134,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,4.78
8.219.0.162,2053,2053,true,SIN,Asia Pacific,Singapore,99,4.77
8.217.145.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,4.77
8.217.91.121,8443,8443,true,HKG,Asia Pacific,Hong Kong,63,4.77
47.238.40.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,4.77
8.210.107.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,4.76
