IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,65,5.31
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,217,5.28
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,237,5.25
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,137,5.23
130.162.140.215,443,443,true,NRT,Asia Pacific,Tokyo,102,5.20
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,110,4.94
193.122.125.174,2053,443,true,ICN,Asia Pacific,Seoul,89,4.92
192.9.180.162,443,443,true,SYD,Oceania,Sydney,94,4.86
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,87,4.86
132.145.82.137,443,443,true,ICN,Asia Pacific,Seoul,103,4.81
152.70.155.147,2087,2087,true,LAX,North America,Los Angeles,197,4.75
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,77,4.58
64.110.80.201,2053,443,true,ICN,Asia Pacific,Seoul,125,4.42
152.70.155.147,443,443,true,LAX,North America,Los Angeles,234,4.31
140.238.158.238,443,443,true,YYZ,North America,Toronto,228,4.24
129.153.213.8,443,443,true,LAX,North America,Los Angeles,216,4.20
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,255,4.17
192.18.148.248,443,443,true,YYZ,North America,Toronto,250,3.97
89.168.35.75,8443,443,true,CDG,Europe,Paris,251,3.92
159.13.46.42,443,443,true,SYD,Oceania,Sydney,94,3.82
158.178.206.197,2053,443,true,CDG,Europe,Paris,248,3.74
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,222,3.72
158.178.192.221,443,443,true,CDG,Europe,Paris,182,3.65
68.233.127.163,8443,443,true,YYZ,North America,Toronto,286,3.60
152.70.234.188,443,443,true,NRT,Asia Pacific,Tokyo,98,3.18
89.168.43.31,8443,443,true,CDG,Europe,Paris,188,3.14
129.159.83.88,8443,443,true,IAD,North America,Ashburn,266,2.91
158.101.15.48,443,443,true,LAX,North America,Los Angeles,211,2.14
158.101.11.22,443,443,true,LAX,North America,Los Angeles,229,1.95
158.101.11.22,8443,443,true,LAX,North America,Los Angeles,216,1.81
89.168.43.31,2053,443,true,CDG,Europe,Paris,314,1.40
64.110.80.201,2083,443,true,NRT,Asia Pacific,Tokyo,105,1.05
158.178.206.197,8443,443,true,CDG,Europe,Paris,194,0.71
