IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.114.163,2083,2083,true,SIN,Asia Pacific,Singapore,36,4.56
47.237.83.20,2053,2053,true,SIN,Asia Pacific,Singapore,14,4.55
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,62,4.54
8.210.192.93,2053,2053,true,HKG,Asia Pacific,Hong Kong,38,4.54
8.211.15.40,443,443,true,FRA,Europe,Frankfurt,192,4.54
8.218.122.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,4.54
8.222.215.228,2053,2053,true,SIN,Asia Pacific,Singapore,44,4.53
8.218.11.90,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,4.52
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,4.52
47.238.6.102,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,4.52
47.243.74.220,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,4.51
47.242.234.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,4.50
47.237.11.182,2083,2083,true,SIN,Asia Pacific,Singapore,64,4.49
8.222.222.64,2083,2083,true,SIN,Asia Pacific,Singapore,61,4.49
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,73,4.48
8.219.191.110,2053,2053,true,SIN,Asia Pacific,Singapore,63,4.47
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,51,4.47
47.243.183.127,2087,2087,true,HKG,Asia Pacific,Hong Kong,57,4.47
47.236.10.100,2053,2053,true,SIN,Asia Pacific,Singapore,62,4.47
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,60,4.46
8.210.3.24,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,4.45
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,51,4.44
8.219.78.188,2053,2053,true,SIN,Asia Pacific,Singapore,88,4.44
47.237.82.15,2087,2087,true,SIN,Asia Pacific,Singapore,39,4.44
47.243.183.127,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,4.43
8.217.250.5,2053,2053,true,HKG,Asia Pacific,Hong Kong,70,4.42
8.219.237.250,2053,2053,true,SIN,Asia Pacific,Singapore,49,4.42
8.218.8.142,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,4.40
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,134,4.40
8.219.198.139,443,443,true,SIN,Asia Pacific,Singapore,63,4.39
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,67,4.38
47.237.95.156,2053,2053,true,SIN,Asia Pacific,Singapore,46,4.38
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,4.38
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,61,4.38
8.219.100.168,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.37
8.219.67.133,8443,8443,true,SIN,Asia Pacific,Singapore,77,4.37
47.237.14.220,2083,2083,true,SIN,Asia Pacific,Singapore,124,4.35
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,56,4.34
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,139,4.33
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,90,4.33
47.236.10.182,8443,8443,true,SIN,Asia Pacific,Singapore,62,4.32
47.243.173.187,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,4.31
47.236.10.100,2087,2087,true,SIN,Asia Pacific,Singapore,52,4.31
8.219.42.72,2053,2053,true,SIN,Asia Pacific,Singapore,130,4.29
8.219.163.195,2096,2096,true,SIN,Asia Pacific,Singapore,89,4.29
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,51,4.29
47.76.204.76,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,4.28
8.219.87.30,2096,2096,true,SIN,Asia Pacific,Singapore,94,4.28
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,85,4.27
8.218.3.12,2053,2053,true,HKG,Asia Pacific,Hong Kong,98,4.27
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,52,4.27
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,59,4.26
47.237.0.31,2087,2087,true,SIN,Asia Pacific,Singapore,61,4.26
47.254.169.83,443,443,true,FRA,Europe,Frankfurt,277,4.26
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,143,4.25
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,99,4.25
47.245.126.151,2096,2096,true,SIN,Asia Pacific,Singapore,35,4.25
47.236.75.113,2083,2083,true,SIN,Asia Pacific,Singapore,123,4.24
8.219.198.34,2087,2087,true,SIN,Asia Pacific,Singapore,45,4.24
47.243.183.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,4.23
8.222.137.192,8443,8443,true,SIN,Asia Pacific,Singapore,59,4.23
8.209.114.101,443,443,true,FRA,Europe,Frankfurt,290,4.22
8.219.126.240,2087,2087,true,SIN,Asia Pacific,Singapore,111,4.22
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,91,4.21
47.238.245.170,443,443,true,HKG,Asia Pacific,Hong Kong,31,4.21
8.219.111.147,2087,2087,true,SIN,Asia Pacific,Singapore,104,4.21
47.236.253.41,2087,2087,true,SIN,Asia Pacific,Singapore,60,4.21
8.219.193.202,2053,2053,true,SIN,Asia Pacific,Singapore,47,4.20
47.236.232.148,2087,2087,true,SIN,Asia Pacific,Singapore,57,4.20
8.209.115.218,443,443,true,FRA,Europe,Frankfurt,281,4.20
8.222.222.64,443,443,true,SIN,Asia Pacific,Singapore,66,4.19
8.219.237.250,8443,8443,true,SIN,Asia Pacific,Singapore,48,4.19
8.218.188.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,4.19
8.211.14.140,443,443,true,FRA,Europe,Frankfurt,250,4.18
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,95,4.18
8.219.210.64,2087,2087,true,SIN,Asia Pacific,Singapore,47,4.18
47.243.107.148,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,4.17
8.219.120.87,2096,2096,true,SIN,Asia Pacific,Singapore,92,4.17
8.219.42.72,2083,2083,true,SIN,Asia Pacific,Singapore,123,4.15
47.237.10.1,2053,2053,true,SIN,Asia Pacific,Singapore,54,4.15
8.222.222.64,2053,2053,true,SIN,Asia Pacific,Singapore,60,4.15
47.243.90.180,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,4.15
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,29,4.15
8.217.85.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,4.14
47.236.110.238,443,443,true,SIN,Asia Pacific,Singapore,124,4.14
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,72,4.14
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,47,4.13
47.237.83.20,2083,2083,true,SIN,Asia Pacific,Singapore,79,4.13
8.222.215.228,8443,8443,true,SIN,Asia Pacific,Singapore,76,4.12
47.243.203.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,43,4.12
8.219.222.98,2096,2096,true,SIN,Asia Pacific,Singapore,49,4.12
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,47,4.12
8.219.177.205,2083,2083,true,SIN,Asia Pacific,Singapore,68,4.12
8.209.64.239,443,443,true,FRA,Europe,Frankfurt,280,4.11
47.76.146.1,2096,2096,true,HKG,Asia Pacific,Hong Kong,83,4.11
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,79,4.10
8.219.5.10,443,443,true,SIN,Asia Pacific,Singapore,49,4.10
47.245.84.124,2096,2096,true,SIN,Asia Pacific,Singapore,44,4.10
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,52,4.10
47.236.253.41,2096,2096,true,SIN,Asia Pacific,Singapore,56,4.10
8.219.177.205,2087,2087,true,SIN,Asia Pacific,Singapore,64,4.09
8.219.191.40,2083,2083,true,SIN,Asia Pacific,Singapore,100,4.09
8.218.243.95,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,4.09
47.236.10.100,2083,2083,true,SIN,Asia Pacific,Singapore,48,4.08
47.242.174.27,2096,2096,true,HKG,Asia Pacific,Hong Kong,80,4.08
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,68,4.08
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,32,4.07
47.245.102.52,2087,2087,true,SIN,Asia Pacific,Singapore,27,4.07
8.219.193.202,8443,8443,true,SIN,Asia Pacific,Singapore,112,4.06
47.236.158.158,2087,2087,true,SIN,Asia Pacific,Singapore,124,4.06
8.218.11.90,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,4.06
47.236.87.246,2096,2096,true,SIN,Asia Pacific,Singapore,98,4.06
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,46,4.06
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,80,4.05
8.219.42.72,2087,2087,true,SIN,Asia Pacific,Singapore,91,4.05
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,31,4.02
8.217.121.207,2096,2096,true,HKG,Asia Pacific,Hong Kong,95,4.02
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,41,4.02
8.219.60.54,2096,2096,true,SIN,Asia Pacific,Singapore,40,4.01
8.219.107.135,8443,8443,true,SIN,Asia Pacific,Singapore,100,4.01
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,42,4.01
8.219.222.98,8443,8443,true,SIN,Asia Pacific,Singapore,82,4.01
8.219.210.64,2083,2083,true,SIN,Asia Pacific,Singapore,95,4.00
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,92,4.00
47.237.95.140,8443,8443,true,SIN,Asia Pacific,Singapore,69,4.00
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,28,4.00
8.219.104.37,2053,2053,true,SIN,Asia Pacific,Singapore,140,3.99
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,79,3.99
8.219.191.40,2096,2096,true,SIN,Asia Pacific,Singapore,65,3.98
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,111,3.98
8.218.11.90,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,3.98
47.76.37.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,3.98
47.237.83.20,2096,2096,true,SIN,Asia Pacific,Singapore,86,3.98
47.236.117.48,2083,2083,true,SIN,Asia Pacific,Singapore,116,3.98
47.236.232.148,2096,2096,true,SIN,Asia Pacific,Singapore,54,3.97
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,32,3.97
