IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.126.53,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,4.73
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,4.73
8.217.145.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,4.73
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,4.72
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,4.70
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,69,4.70
47.243.5.154,8443,8443,true,HKG,Asia Pacific,Hong Kong,71,4.70
47.236.87.246,8443,8443,true,SIN,Asia Pacific,Singapore,38,4.70
8.210.175.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,4.69
47.243.67.28,2053,2053,true,HKG,Asia Pacific,Hong Kong,47,4.69
47.236.146.249,2087,2087,true,SIN,Asia Pacific,Singapore,89,4.69
8.218.74.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,4.68
47.236.117.48,2087,2087,true,SIN,Asia Pacific,Singapore,92,4.68
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,68,4.67
47.90.201.189,443,443,true,IAD,North America,Ashburn,243,4.67
8.218.122.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,73,4.65
8.210.21.65,2087,2087,true,HKG,Asia Pacific,Hong Kong,69,4.64
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,94,4.64
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,73,4.63
8.218.143.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,4.63
8.222.137.192,2087,2087,true,SIN,Asia Pacific,Singapore,113,4.63
47.243.173.187,2096,2096,true,HKG,Asia Pacific,Hong Kong,49,4.62
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,56,4.62
8.218.155.238,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,4.61
8.219.84.214,2053,2053,true,SIN,Asia Pacific,Singapore,78,4.61
8.217.221.165,2087,2087,true,HKG,Asia Pacific,Hong Kong,119,4.61
8.219.147.58,8443,8443,true,SIN,Asia Pacific,Singapore,66,4.61
8.218.126.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,4.61
47.243.234.9,8443,8443,true,HKG,Asia Pacific,Hong Kong,79,4.60
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,54,4.60
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,59,4.60
47.243.169.63,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,4.60
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,25,4.59
8.222.181.139,443,443,true,SIN,Asia Pacific,Singapore,83,4.59
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,94,4.59
8.222.249.190,2083,2083,true,SIN,Asia Pacific,Singapore,71,4.59
8.219.84.214,2087,2087,true,SIN,Asia Pacific,Singapore,85,4.59
8.218.142.253,8443,8443,true,HKG,Asia Pacific,Hong Kong,91,4.59
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,59,4.58
8.210.9.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,4.58
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,4.57
8.219.66.156,2053,2053,true,NRT,Asia Pacific,Tokyo,186,4.57
47.243.91.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,4.57
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,46,4.56
47.243.183.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,4.55
47.243.91.58,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,4.54
8.217.149.28,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,4.53
8.217.164.10,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,4.52
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,4.51
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,4.51
47.245.102.52,8443,8443,true,SIN,Asia Pacific,Singapore,34,4.50
8.218.74.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,4.49
47.243.206.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,4.49
8.219.126.240,2087,2087,true,SIN,Asia Pacific,Singapore,121,4.49
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,96,4.48
