IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.105.224,8443,8443,true,SIN,Asia Pacific,Singapore,18,4.79
8.219.189.143,2096,2096,true,SIN,Asia Pacific,Singapore,13,4.78
8.210.89.245,2087,2087,true,HKG,Asia Pacific,Hong Kong,98,4.78
47.238.6.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,4.78
8.222.180.86,2083,2083,true,SIN,Asia Pacific,Singapore,81,4.78
8.219.248.47,2083,2083,true,SIN,Asia Pacific,Singapore,62,4.77
8.222.191.138,2053,2053,true,SIN,Asia Pacific,Singapore,78,4.77
47.242.7.162,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,4.77
8.210.203.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,4.77
47.245.105.224,2053,2053,true,SIN,Asia Pacific,Singapore,29,4.77
8.219.126.240,2083,2083,true,SIN,Asia Pacific,Singapore,62,4.76
47.245.118.70,2053,2053,true,SIN,Asia Pacific,Singapore,12,4.76
8.219.191.110,2087,2087,true,SIN,Asia Pacific,Singapore,45,4.76
8.219.248.47,2053,2053,true,SIN,Asia Pacific,Singapore,86,4.74
8.219.114.201,443,443,true,SIN,Asia Pacific,Singapore,68,4.74
47.236.80.110,2096,2096,true,SIN,Asia Pacific,Singapore,50,4.74
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,4.73
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.73
8.219.191.110,8443,8443,true,SIN,Asia Pacific,Singapore,60,4.72
8.222.191.138,8443,8443,true,SIN,Asia Pacific,Singapore,55,4.72
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,4.71
47.236.10.100,2053,2053,true,SIN,Asia Pacific,Singapore,93,4.70
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,117,4.70
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,58,4.70
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,4.69
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,4.69
8.218.11.90,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,4.68
8.217.49.34,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,4.67
47.243.255.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,101,4.67
47.238.6.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,84,4.65
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,4.65
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,4.64
47.76.227.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,37,4.64
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,57,4.64
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,4.63
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,84,4.63
8.222.169.222,2096,2096,true,SIN,Asia Pacific,Singapore,115,4.63
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,32,4.62
47.242.176.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,61,4.61
47.236.10.100,2096,2096,true,SIN,Asia Pacific,Singapore,89,4.61
8.219.198.34,443,443,true,SIN,Asia Pacific,Singapore,117,4.60
47.236.17.193,2083,2083,true,SIN,Asia Pacific,Singapore,43,4.60
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,32,4.60
47.237.11.182,2083,2083,true,SIN,Asia Pacific,Singapore,43,4.60
8.219.202.130,8443,8443,true,SIN,Asia Pacific,Singapore,86,4.59
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,78,4.59
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,109,4.56
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,23,4.56
8.219.4.122,8443,8443,true,SIN,Asia Pacific,Singapore,56,4.56
8.222.249.190,2053,2053,true,SIN,Asia Pacific,Singapore,58,4.55
47.236.170.225,8443,8443,true,SIN,Asia Pacific,Singapore,109,4.55
8.210.174.156,2053,2053,true,HKG,Asia Pacific,Hong Kong,54,4.55
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,4.54
8.218.201.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,102,4.54
47.243.74.220,2096,2096,true,HKG,Asia Pacific,Hong Kong,65,4.53
47.236.144.208,2096,2096,true,SIN,Asia Pacific,Singapore,90,4.52
8.218.181.189,2083,2083,true,HKG,Asia Pacific,Hong Kong,86,4.52
8.222.191.138,2087,2087,true,SIN,Asia Pacific,Singapore,59,4.52
8.219.103.65,2053,2053,true,SIN,Asia Pacific,Singapore,66,4.51
47.236.172.71,2096,2096,true,SIN,Asia Pacific,Singapore,177,4.51
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,76,4.51
8.222.187.4,2096,2096,true,SIN,Asia Pacific,Singapore,79,4.50
47.238.43.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.50
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,4.49
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,64,4.49
47.242.54.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,4.48
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,55,4.48
8.219.106.156,8443,8443,true,SIN,Asia Pacific,Singapore,125,4.48
8.218.173.78,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,4.46
8.222.187.4,2083,2083,true,SIN,Asia Pacific,Singapore,45,4.45
47.236.172.95,8443,8443,true,SIN,Asia Pacific,Singapore,82,4.45
8.219.120.87,8443,8443,true,SIN,Asia Pacific,Singapore,60,4.45
8.219.170.232,443,443,true,SIN,Asia Pacific,Singapore,41,4.45
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,43,4.44
8.219.124.227,2096,2096,true,SIN,Asia Pacific,Singapore,109,4.44
47.242.59.216,2096,2096,true,HKG,Asia Pacific,Hong Kong,96,4.43
8.218.142.253,2053,2053,true,HKG,Asia Pacific,Hong Kong,104,4.43
8.218.85.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,4.43
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,68,4.42
8.219.142.191,2087,2087,true,SIN,Asia Pacific,Singapore,75,4.42
47.76.192.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,4.42
47.242.157.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,4.42
8.219.142.191,2083,2083,true,SIN,Asia Pacific,Singapore,94,4.41
47.76.49.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,109,4.41
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,61,4.41
8.219.66.156,2096,2096,true,NRT,Asia Pacific,Tokyo,180,4.40
47.243.18.199,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,4.40
8.218.22.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,97,4.38
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,95,4.38
8.210.63.130,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,4.37
8.219.240.160,8443,8443,true,SIN,Asia Pacific,Singapore,142,4.37
47.76.26.26,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,4.36
8.219.200.145,443,443,true,SIN,Asia Pacific,Singapore,73,4.35
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,51,4.35
8.222.214.231,8443,8443,true,SIN,Asia Pacific,Singapore,80,4.35
8.222.181.117,2053,2053,true,SIN,Asia Pacific,Singapore,129,4.34
47.236.169.141,8443,8443,true,SIN,Asia Pacific,Singapore,100,4.34
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,14,4.33
47.243.60.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,4.32
8.219.106.156,8443,8443,true,SIN,Asia Pacific,Singapore,89,4.32
8.218.98.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,4.31
8.219.124.227,8443,8443,true,SIN,Asia Pacific,Singapore,54,4.30
8.222.164.209,8443,8443,true,SIN,Asia Pacific,Singapore,140,4.30
8.222.222.64,2083,2083,true,SIN,Asia Pacific,Singapore,111,4.29
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,141,4.29
47.245.118.70,2087,2087,true,SIN,Asia Pacific,Singapore,33,4.29
47.243.26.83,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,4.28
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,74,4.27
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,89,4.27
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,4.26
47.76.233.67,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,4.26
47.254.236.28,80,443,true,SIN,Asia Pacific,Singapore,42,4.26
47.236.17.193,2053,2053,true,SIN,Asia Pacific,Singapore,48,4.26
8.218.211.17,2053,2053,true,HKG,Asia Pacific,Hong Kong,105,4.26
47.91.17.49,443,443,true,NRT,Asia Pacific,Tokyo,93,4.25
47.242.79.71,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,4.25
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,30,4.24
47.245.114.163,2053,2053,true,SIN,Asia Pacific,Singapore,72,4.24
8.218.98.75,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,4.23
47.250.48.185,80,443,true,SIN,Asia Pacific,Singapore,14,4.23
8.217.123.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,134,4.23
47.243.26.83,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,4.23
8.219.120.87,2096,2096,true,SIN,Asia Pacific,Singapore,109,4.22
8.217.250.222,2053,2053,true,HKG,Asia Pacific,Hong Kong,84,4.22
47.254.236.28,80,443,true,SIN,Asia Pacific,Singapore,10,4.21
47.242.183.7,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,4.21
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,58,4.19
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,4.18
8.219.139.13,2096,2096,true,SIN,Asia Pacific,Singapore,85,4.18
8.218.188.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,137,4.18
47.238.235.163,443,443,true,HKG,Asia Pacific,Hong Kong,49,4.18
47.76.227.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,4.16
8.213.208.6,80,443,true,BKK,Asia Pacific,Bangkok,81,4.16
47.245.126.151,2083,2083,true,SIN,Asia Pacific,Singapore,28,4.16
47.236.166.131,2087,2087,true,SIN,Asia Pacific,Singapore,62,4.15
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,177,4.15
8.218.65.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,4.14
8.219.106.156,443,443,true,SIN,Asia Pacific,Singapore,74,4.14
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,86,4.13
47.242.107.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,103,4.13
47.245.105.224,2096,2096,true,SIN,Asia Pacific,Singapore,107,4.12
47.236.17.193,2087,2087,true,SIN,Asia Pacific,Singapore,64,4.12
47.76.203.101,2087,2087,true,HKG,Asia Pacific,Hong Kong,41,4.12
8.210.245.224,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,4.12
47.242.42.153,2083,2083,true,HKG,Asia Pacific,Hong Kong,64,4.12
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,26,4.12
47.236.232.148,8443,8443,true,SIN,Asia Pacific,Singapore,48,4.12
47.238.35.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,4.11
8.210.174.156,8443,8443,true,HKG,Asia Pacific,Hong Kong,53,4.11
47.243.51.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,61,4.11
8.219.199.220,2083,2083,true,SIN,Asia Pacific,Singapore,70,4.10
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,4.10
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,79,4.10
47.243.5.154,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,4.09
47.91.17.49,443,443,true,NRT,Asia Pacific,Tokyo,101,4.09
47.238.245.39,80,443,true,SIN,Asia Pacific,Singapore,45,4.09
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,80,4.08
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,4.08
8.219.120.87,8443,8443,true,SIN,Asia Pacific,Singapore,68,4.08
8.218.155.238,2087,2087,true,HKG,Asia Pacific,Hong Kong,125,4.08
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.08
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,4.07
47.242.171.94,2087,2087,true,HKG,Asia Pacific,Hong Kong,87,4.07
8.219.50.180,443,443,true,SIN,Asia Pacific,Singapore,96,4.06
47.236.174.206,2096,2096,true,SIN,Asia Pacific,Singapore,184,4.05
8.218.192.172,443,443,true,HKG,Asia Pacific,Hong Kong,76,4.05
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,133,4.05
8.219.240.160,2053,2053,true,SIN,Asia Pacific,Singapore,62,4.05
47.236.144.208,2087,2087,true,SIN,Asia Pacific,Singapore,110,4.04
47.236.166.131,8443,8443,true,SIN,Asia Pacific,Singapore,187,4.04
47.245.84.124,2087,2087,true,SIN,Asia Pacific,Singapore,50,4.04
47.242.174.27,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,4.04
8.219.170.232,2083,2083,true,SIN,Asia Pacific,Singapore,60,4.02
47.237.95.146,8443,8443,true,SIN,Asia Pacific,Singapore,104,4.02
47.236.110.238,443,443,true,SIN,Asia Pacific,Singapore,50,4.01
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,41,4.01
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,99,4.01
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,94,4.00
8.218.243.95,2083,2083,true,HKG,Asia Pacific,Hong Kong,46,4.00
8.218.81.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,122,4.00
47.236.166.131,2053,2053,true,SIN,Asia Pacific,Singapore,149,4.00
8.222.165.117,2053,2053,true,SIN,Asia Pacific,Singapore,79,3.99
8.217.142.78,80,443,true,SIN,Asia Pacific,Singapore,82,3.99
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,3.99
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,87,3.99
8.219.51.211,2087,2087,true,SIN,Asia Pacific,Singapore,76,3.98
8.219.210.57,2096,2096,true,SIN,Asia Pacific,Singapore,44,3.98
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,35,3.98
47.76.33.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,49,3.97
47.238.49.85,80,443,true,SIN,Asia Pacific,Singapore,94,3.97
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,84,3.97
8.219.68.162,443,443,true,SIN,Asia Pacific,Singapore,105,3.97
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,3.96
8.219.11.158,2053,2053,true,SIN,Asia Pacific,Singapore,81,3.96
47.242.7.162,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,3.95
47.237.95.156,2083,2083,true,SIN,Asia Pacific,Singapore,70,3.95
47.242.42.153,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,3.95
47.238.207.144,80,443,true,SIN,Asia Pacific,Singapore,44,3.95
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,92,3.95
47.76.106.86,80,443,true,SIN,Asia Pacific,Singapore,119,3.94
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,3.94
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,105,3.94
47.237.121.38,2087,2087,true,SIN,Asia Pacific,Singapore,110,3.94
8.219.67.133,8443,8443,true,SIN,Asia Pacific,Singapore,108,3.94
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,72,3.93
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,65,3.93
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,134,3.93
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,41,3.93
47.238.41.59,80,443,true,KUL,Asia Pacific,Kuala Lumpur,121,3.92
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,52,3.91
47.238.255.53,80,443,true,KUL,Asia Pacific,Kuala Lumpur,51,3.91
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,105,3.91
8.219.198.34,2087,2087,true,SIN,Asia Pacific,Singapore,110,3.91
47.243.70.186,2087,2087,true,HKG,Asia Pacific,Hong Kong,44,3.90
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,66,3.89
8.218.211.124,80,443,true,KUL,Asia Pacific,Kuala Lumpur,65,3.89
47.238.48.153,80,443,true,KUL,Asia Pacific,Kuala Lumpur,46,3.89
47.238.36.250,80,443,true,KUL,Asia Pacific,Kuala Lumpur,91,3.88
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,33,3.88
8.219.98.13,2083,2083,true,SIN,Asia Pacific,Singapore,15,3.87
47.238.52.240,80,443,true,KUL,Asia Pacific,Kuala Lumpur,132,3.87
47.238.49.85,80,443,true,SIN,Asia Pacific,Singapore,101,3.86
47.238.52.240,80,443,true,KUL,Asia Pacific,Kuala Lumpur,119,3.85
47.243.18.199,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,3.85
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,157,3.84
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,79,3.83
47.238.48.153,80,443,true,KUL,Asia Pacific,Kuala Lumpur,187,3.83
8.219.113.232,2083,2083,true,SIN,Asia Pacific,Singapore,57,3.82
8.222.181.117,2087,2087,true,SIN,Asia Pacific,Singapore,139,3.82
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,89,3.82
8.217.221.165,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,3.82
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,38,3.82
8.219.193.202,2053,2053,true,SIN,Asia Pacific,Singapore,46,3.81
8.217.61.176,80,443,true,KUL,Asia Pacific,Kuala Lumpur,74,3.81
47.243.70.186,2087,2087,true,HKG,Asia Pacific,Hong Kong,109,3.80
8.222.164.209,2053,2053,true,SIN,Asia Pacific,Singapore,131,3.80
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,47,3.80
47.245.126.151,8443,8443,true,SIN,Asia Pacific,Singapore,21,3.80
8.218.211.124,80,443,true,KUL,Asia Pacific,Kuala Lumpur,54,3.80
47.236.237.90,2087,2087,true,SIN,Asia Pacific,Singapore,36,3.80
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,76,3.79
47.237.94.140,2083,2083,true,SIN,Asia Pacific,Singapore,71,3.79
47.243.42.219,2096,2096,true,HKG,Asia Pacific,Hong Kong,130,3.79
8.218.204.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,126,3.78
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,60,3.78
47.243.42.155,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,3.78
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,50,3.78
