IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
8.219.194.32,443,443,true,SIN,Asia Pacific,SG,Singapore,199,2.27
8.219.3.155,443,443,true,SIN,Asia Pacific,SG,Singapore,186,2.23
8.219.86.91,443,443,true,SIN,Asia Pacific,SG,Singapore,173,2.22
8.219.252.46,443,443,true,SIN,Asia Pacific,SG,Singapore,240,2.21
8.219.170.239,443,443,true,SIN,Asia Pacific,SG,Singapore,178,2.20
8.219.61.151,443,443,true,SIN,Asia Pacific,SG,Singapore,242,2.18
8.222.206.127,443,443,true,SIN,Asia Pacific,SG,Singapore,221,2.17
8.219.117.17,443,443,true,SIN,Asia Pacific,SG,Singapore,276,2.16
8.222.208.60,443,443,true,SIN,Asia Pacific,SG,Singapore,309,2.14
8.219.138.216,443,443,true,SIN,Asia Pacific,SG,Singapore,263,2.13
8.219.111.131,443,443,true,SIN,Asia Pacific,SG,Singapore,255,2.12
8.222.208.219,443,443,true,SIN,Asia Pacific,SG,Singapore,233,2.10
8.219.228.48,443,443,true,SIN,Asia Pacific,SG,Singapore,194,2.08
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,59,2.07
8.219.130.167,443,443,true,SIN,Asia Pacific,SG,Singapore,202,2.06
8.219.62.170,443,443,true,SIN,Asia Pacific,SG,Singapore,250,2.06
8.219.114.222,443,443,true,SIN,Asia Pacific,SG,Singapore,200,2.05
8.219.220.253,443,443,true,SIN,Asia Pacific,SG,Singapore,238,2.05
8.222.176.96,443,443,true,SIN,Asia Pacific,SG,Singapore,294,2.03
8.219.148.5,443,443,true,SIN,Asia Pacific,SG,Singapore,259,2.02
8.219.148.44,443,443,true,SIN,Asia Pacific,SG,Singapore,239,2.01
8.222.189.134,443,443,true,SIN,Asia Pacific,SG,Singapore,313,2.01
8.219.94.122,443,443,true,SIN,Asia Pacific,SG,Singapore,195,1.99
8.219.148.44,443,443,true,SIN,Asia Pacific,SG,Singapore,152,1.98
47.76.218.163,443,443,true,HKG,Asia Pacific,HK,Hong Kong,211,1.97
8.222.181.216,443,443,true,SIN,Asia Pacific,SG,Singapore,320,1.96
8.219.215.94,443,443,true,SIN,Asia Pacific,SG,Singapore,11,1.94
8.222.179.216,443,443,true,SIN,Asia Pacific,SG,Singapore,263,1.93
8.219.90.83,443,443,true,SIN,Asia Pacific,SG,Singapore,231,1.92
8.219.104.155,443,443,true,SIN,Asia Pacific,SG,Singapore,135,1.88
8.219.201.195,443,443,true,SIN,Asia Pacific,SG,Singapore,279,1.86
8.222.241.242,443,443,true,SIN,Asia Pacific,SG,Singapore,229,1.85
8.219.102.8,443,443,true,SIN,Asia Pacific,SG,Singapore,193,1.81
8.219.145.225,443,443,true,SIN,Asia Pacific,SG,Singapore,179,1.80
8.219.240.4,443,443,true,SIN,Asia Pacific,SG,Singapore,198,1.78
8.219.62.170,443,443,true,SIN,Asia Pacific,SG,Singapore,177,1.78
8.222.209.84,443,443,true,SIN,Asia Pacific,SG,Singapore,279,1.76
8.219.101.0,443,443,true,SIN,Asia Pacific,SG,Singapore,256,1.75
8.219.121.4,443,443,true,SIN,Asia Pacific,SG,Singapore,219,1.71
8.222.203.31,443,443,true,SIN,Asia Pacific,SG,Singapore,61,1.69
8.219.126.140,443,443,true,SIN,Asia Pacific,SG,Singapore,270,1.69
8.219.192.82,443,443,true,SIN,Asia Pacific,SG,Singapore,247,1.68
8.219.155.117,443,443,true,SIN,Asia Pacific,SG,Singapore,188,1.65
