IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.12.116,443,443,true,FRA,Europe,Frankfurt,390,3.90
140.238.80.9,443,443,true,FRA,Europe,Frankfurt,250,3.90
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,326,3.89
144.21.50.236,443,443,true,FRA,Europe,Frankfurt,316,3.89
143.47.229.228,443,443,true,FRA,Europe,Frankfurt,388,3.89
155.248.169.219,443,443,true,SIN,Asia Pacific,Singapore,281,3.88
144.21.62.214,443,443,true,FRA,Europe,Frankfurt,315,3.88
129.159.248.123,443,443,true,FRA,Europe,Frankfurt,335,3.88
132.226.208.168,443,443,true,FRA,Europe,Frankfurt,328,3.86
150.230.117.251,443,443,true,FRA,Europe,Frankfurt,311,3.85
158.180.46.197,443,443,true,FRA,Europe,Frankfurt,332,3.85
193.123.61.78,443,443,true,FRA,Europe,Frankfurt,256,3.84
193.123.32.148,443,443,true,FRA,Europe,Frankfurt,314,3.84
132.226.201.171,443,443,true,FRA,Europe,Frankfurt,333,3.84
192.18.139.229,8443,443,true,SJC,North America,San Jose,205,3.82
130.162.249.61,443,443,true,FRA,Europe,Frankfurt,330,3.82
141.147.69.213,443,443,true,FRA,Europe,Frankfurt,313,3.82
140.238.80.9,443,443,true,FRA,Europe,Frankfurt,317,3.81
130.61.83.37,443,443,true,FRA,Europe,Frankfurt,317,3.81
84.8.156.170,443,443,true,FRA,Europe,Frankfurt,371,3.81
141.147.36.50,443,443,true,FRA,Europe,Frankfurt,323,3.81
130.162.244.54,443,443,true,FRA,Europe,Frankfurt,330,3.81
141.147.73.32,443,443,true,FRA,Europe,Frankfurt,314,3.80
158.180.39.143,443,443,true,FRA,Europe,Frankfurt,321,3.80
138.3.240.113,443,443,true,FRA,Europe,Frankfurt,321,3.79
89.168.90.98,443,443,true,FRA,Europe,Frankfurt,322,3.79
130.162.37.9,443,443,true,FRA,Europe,Frankfurt,320,3.78
155.248.202.141,443,443,true,SJC,North America,San Jose,199,3.77
141.147.68.89,443,443,true,FRA,Europe,Frankfurt,328,3.76
130.162.183.177,443,443,true,FRA,Europe,Frankfurt,258,3.76
152.67.130.118,443,443,true,FRA,Europe,Frankfurt,319,3.76
130.162.168.232,443,443,true,FRA,Europe,Frankfurt,267,3.74
152.70.177.66,443,443,true,FRA,Europe,Frankfurt,321,3.73
141.144.194.2,443,443,true,FRA,Europe,Frankfurt,325,3.73
158.180.21.101,443,443,true,FRA,Europe,Frankfurt,319,3.68
89.168.81.161,443,443,true,FRA,Europe,Frankfurt,316,3.68
143.47.243.144,8443,443,true,LHR,Europe,London,298,3.66
140.238.80.28,443,443,true,FRA,Europe,Frankfurt,318,3.65
150.230.23.31,443,443,true,FRA,Europe,Frankfurt,258,3.64
193.122.63.189,443,443,true,FRA,Europe,Frankfurt,255,3.63
84.235.174.51,443,443,true,FRA,Europe,Frankfurt,314,3.62
144.21.34.158,443,443,true,FRA,Europe,Frankfurt,206,3.59
152.70.48.118,443,443,true,FRA,Europe,Frankfurt,203,3.58
130.162.57.51,443,443,true,FRA,Europe,Frankfurt,313,3.57
193.123.57.216,443,443,true,FRA,Europe,Frankfurt,347,3.57
144.21.36.202,443,443,true,FRA,Europe,Frankfurt,313,3.56
132.226.207.90,443,443,true,FRA,Europe,Frankfurt,349,3.56
132.226.1.227,443,443,true,NRT,Asia Pacific,Tokyo,69,3.54
132.226.198.70,443,443,true,FRA,Europe,Frankfurt,320,3.53
158.180.22.235,443,443,true,FRA,Europe,Frankfurt,270,3.50
193.123.37.91,443,443,true,FRA,Europe,Frankfurt,253,3.50
84.8.149.115,443,443,true,FRA,Europe,Frankfurt,328,3.49
150.230.23.217,443,443,true,FRA,Europe,Frankfurt,249,3.47
130.162.219.121,443,443,true,FRA,Europe,Frankfurt,312,3.46
144.24.243.207,443,443,true,MXP,Europe,Milan,220,3.43
143.47.243.144,2053,443,true,LHR,Europe,London,295,3.40
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,69,3.40
152.70.172.28,443,443,true,FRA,Europe,Frankfurt,314,3.40
130.61.56.158,443,443,true,FRA,Europe,Frankfurt,323,3.40
141.148.224.185,443,443,true,FRA,Europe,Frankfurt,248,3.37
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,318,3.34
144.21.42.103,443,443,true,FRA,Europe,Frankfurt,310,3.34
143.47.233.231,443,443,true,FRA,Europe,Frankfurt,335,3.33
140.238.126.30,443,443,true,FRA,Europe,Frankfurt,321,3.32
130.162.186.204,443,443,true,FRA,Europe,Frankfurt,271,3.32
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,280,3.31
164.152.26.70,2086,443,true,ORD,North America,Chicago,245,3.31
138.3.254.39,443,443,true,FRA,Europe,Frankfurt,330,3.31
150.230.22.176,443,443,true,FRA,Europe,Frankfurt,318,3.28
143.47.240.79,443,443,true,FRA,Europe,Frankfurt,321,3.27
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,263,3.27
132.145.10.2,443,443,true,FRA,Europe,Frankfurt,323,3.26
140.238.94.36,443,443,true,FRA,Europe,Frankfurt,366,3.20
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,332,3.20
143.47.225.195,443,443,true,FRA,Europe,Frankfurt,245,3.20
150.230.20.219,443,443,true,FRA,Europe,Frankfurt,315,3.19
130.162.49.82,443,443,true,FRA,Europe,Frankfurt,331,3.19
158.101.201.229,443,443,true,FRA,Europe,Frankfurt,326,3.17
130.61.239.203,443,443,true,FRA,Europe,Frankfurt,312,3.09
140.238.37.208,443,443,true,NRT,Asia Pacific,Tokyo,70,3.07
132.145.253.82,443,443,true,FRA,Europe,Frankfurt,253,3.05
143.47.233.177,443,443,true,FRA,Europe,Frankfurt,316,3.05
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,312,3.05
89.168.71.128,443,443,true,FRA,Europe,Frankfurt,355,3.04
143.47.228.223,443,443,true,FRA,Europe,Frankfurt,316,3.04
158.178.144.249,443,443,true,FRA,Europe,Frankfurt,244,3.02
141.148.244.201,443,443,true,FRA,Europe,Frankfurt,324,3.01
158.101.201.223,443,443,true,FRA,Europe,Frankfurt,327,2.98
89.168.73.109,443,443,true,FRA,Europe,Frankfurt,321,2.98
132.145.54.84,8443,443,true,LHR,Europe,London,339,2.97
143.47.240.141,443,443,true,FRA,Europe,Frankfurt,311,2.95
141.144.232.159,443,443,true,FRA,Europe,Frankfurt,345,2.94
130.162.239.221,443,443,true,FRA,Europe,Frankfurt,325,2.94
158.178.156.84,443,443,true,FRA,Europe,Frankfurt,269,2.93
130.162.216.164,443,443,true,FRA,Europe,Frankfurt,265,2.90
193.122.61.167,443,443,true,FRA,Europe,Frankfurt,258,2.88
141.144.248.225,443,443,true,FRA,Europe,Frankfurt,331,2.86
141.147.50.47,443,443,true,FRA,Europe,Frankfurt,329,2.86
132.145.248.137,443,443,true,FRA,Europe,Frankfurt,260,2.84
89.168.120.130,443,443,true,FRA,Europe,Frankfurt,328,2.80
132.145.54.84,2053,443,true,LHR,Europe,London,298,2.80
89.168.93.143,443,443,true,FRA,Europe,Frankfurt,320,2.79
152.70.166.106,443,443,true,FRA,Europe,Frankfurt,266,2.79
141.144.247.174,443,443,true,FRA,Europe,Frankfurt,292,2.77
130.61.87.219,443,443,true,FRA,Europe,Frankfurt,339,2.76
143.47.233.253,443,443,true,FRA,Europe,Frankfurt,274,2.75
141.147.68.194,443,443,true,FRA,Europe,Frankfurt,327,2.74
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,310,2.73
130.61.55.76,443,443,true,FRA,Europe,Frankfurt,312,2.71
144.21.42.163,443,443,true,FRA,Europe,Frankfurt,255,2.70
144.21.62.247,443,443,true,FRA,Europe,Frankfurt,334,2.68
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,368,2.67
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,338,2.59
89.168.123.85,443,443,true,FRA,Europe,Frankfurt,365,2.57
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,337,2.55
158.180.29.126,443,443,true,FRA,Europe,Frankfurt,330,2.55
132.226.213.118,443,443,true,FRA,Europe,Frankfurt,341,2.55
