IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.193.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,80,4.71
8.218.207.169,2096,2096,true,HKG,Asia Pacific,Hong Kong,104,4.70
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,70,4.70
47.237.84.173,8443,8443,true,SIN,Asia Pacific,Singapore,98,4.70
8.218.136.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,4.69
8.219.111.147,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.68
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,31,4.68
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,138,4.68
8.222.187.4,8443,8443,true,SIN,Asia Pacific,Singapore,82,4.67
8.209.105.206,443,443,true,FRA,Europe,Frankfurt,299,4.66
8.219.126.240,2096,2096,true,SIN,Asia Pacific,Singapore,80,4.65
8.218.85.128,2087,2087,true,HKG,Asia Pacific,Hong Kong,108,4.65
8.222.214.231,2096,2096,true,SIN,Asia Pacific,Singapore,42,4.65
8.219.86.200,8443,8443,true,SIN,Asia Pacific,Singapore,80,4.64
47.76.33.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,4.63
8.222.167.147,2096,2096,true,SIN,Asia Pacific,Singapore,137,4.62
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,67,4.62
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,14,4.62
8.222.167.147,2083,2083,true,SIN,Asia Pacific,Singapore,70,4.62
47.236.9.152,2083,2083,true,SIN,Asia Pacific,Singapore,89,4.61
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,66,4.60
8.222.181.117,2096,2096,true,SIN,Asia Pacific,Singapore,145,4.60
47.236.172.71,2096,2096,true,SIN,Asia Pacific,Singapore,81,4.60
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,90,4.60
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,113,4.59
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,93,4.59
8.222.164.209,2083,2083,true,SIN,Asia Pacific,Singapore,67,4.58
47.237.95.156,8443,8443,true,SIN,Asia Pacific,Singapore,159,4.58
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,138,4.58
8.218.155.238,8443,8443,true,HKG,Asia Pacific,Hong Kong,42,4.58
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,77,4.57
8.217.91.121,8443,8443,true,HKG,Asia Pacific,Hong Kong,76,4.57
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,45,4.55
8.222.160.176,2083,2083,true,SIN,Asia Pacific,Singapore,90,4.54
8.218.136.25,8443,8443,true,HKG,Asia Pacific,Hong Kong,81,4.54
8.217.193.25,2083,2083,true,HKG,Asia Pacific,Hong Kong,74,4.54
8.217.239.116,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,4.54
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,52,4.53
8.222.215.228,2053,2053,true,SIN,Asia Pacific,Singapore,76,4.51
47.237.86.185,2083,2083,true,SIN,Asia Pacific,Singapore,173,4.51
47.242.157.96,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,4.51
8.219.86.200,2087,2087,true,SIN,Asia Pacific,Singapore,83,4.51
8.219.117.198,2083,2083,true,SIN,Asia Pacific,Singapore,152,4.51
47.242.17.250,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,4.50
8.219.86.200,2096,2096,true,SIN,Asia Pacific,Singapore,76,4.49
47.245.84.124,8443,8443,true,SIN,Asia Pacific,Singapore,17,4.49
8.222.222.64,443,443,true,SIN,Asia Pacific,Singapore,77,4.48
8.222.184.198,2087,2087,true,SIN,Asia Pacific,Singapore,78,4.47
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,166,4.46
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,135,4.45
8.219.142.191,8443,8443,true,SIN,Asia Pacific,Singapore,73,4.44
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,112,4.41
8.219.87.30,2083,2083,true,SIN,Asia Pacific,Singapore,120,4.41
8.222.191.138,2083,2083,true,SIN,Asia Pacific,Singapore,68,4.40
47.236.87.246,2083,2083,true,SIN,Asia Pacific,Singapore,70,4.40
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,4.39
8.222.214.231,443,443,true,SIN,Asia Pacific,Singapore,51,4.38
8.217.49.34,2053,2053,true,HKG,Asia Pacific,Hong Kong,81,4.38
47.236.180.51,2083,2083,true,SIN,Asia Pacific,Singapore,103,4.38
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,43,4.38
8.218.18.132,2087,2087,true,HKG,Asia Pacific,Hong Kong,71,4.37
8.222.162.45,8443,8443,true,SIN,Asia Pacific,Singapore,53,4.37
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,21,4.37
8.219.84.214,8443,8443,true,SIN,Asia Pacific,Singapore,85,4.37
47.237.92.26,2053,2053,true,SIN,Asia Pacific,Singapore,52,4.36
47.237.84.173,2087,2087,true,SIN,Asia Pacific,Singapore,77,4.35
