IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.144.200.41,443,443,true,FRA,Europe,Frankfurt,330,5.45
152.70.155.147,2053,2053,true,LAX,North America,Los Angeles,230,5.45
168.138.215.251,443,443,true,NRT,Asia Pacific,Tokyo,69,5.44
141.144.200.154,443,443,true,FRA,Europe,Frankfurt,268,5.44
141.148.225.142,443,443,true,AMS,Europe,Amsterdam,332,5.44
130.162.164.202,443,443,true,FRA,Europe,Frankfurt,275,5.41
141.147.108.166,443,443,true,FRA,Europe,Frankfurt,199,5.39
89.168.84.70,443,443,true,FRA,Europe,Frankfurt,258,5.36
130.162.173.46,443,443,true,FRA,Europe,Frankfurt,287,5.35
150.230.7.216,443,443,true,KIX,Asia Pacific,Osaka,69,5.35
141.147.92.65,443,443,true,FRA,Europe,Frankfurt,255,5.33
140.238.127.107,443,443,true,FRA,Europe,Frankfurt,271,5.33
152.70.155.147,2096,2096,true,LAX,North America,Los Angeles,207,5.33
192.9.182.144,443,443,true,SYD,Oceania,Sydney,93,5.30
141.147.99.143,443,443,true,FRA,Europe,Frankfurt,256,5.30
204.216.105.106,8443,8443,true,YYZ,North America,Toronto,255,5.29
144.24.176.83,443,443,true,FRA,Europe,Frankfurt,326,5.29
141.144.249.51,443,443,true,FRA,Europe,Frankfurt,362,5.27
159.13.46.42,443,443,true,SYD,Oceania,Sydney,100,5.26
168.138.50.249,443,443,true,KIX,Asia Pacific,Osaka,84,5.25
152.70.58.202,443,443,true,FRA,Europe,Frankfurt,282,5.23
89.168.95.7,443,443,true,FRA,Europe,Frankfurt,296,5.23
158.101.216.227,443,443,true,FRA,Europe,Frankfurt,328,5.20
193.123.250.209,2087,2096,true,ICN,Asia Pacific,Seoul,128,5.17
152.69.192.182,443,8443,true,NRT,Asia Pacific,Tokyo,88,5.15
131.186.28.236,443,443,true,NRT,Asia Pacific,Tokyo,103,5.14
89.168.97.9,443,443,true,FRA,Europe,Frankfurt,182,5.12
