IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.0.162,2083,2083,true,SIN,Asia Pacific,Singapore,53,3.68
8.218.65.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,144,3.67
8.210.9.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,3.65
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,81,3.64
8.222.244.192,2087,2087,true,SIN,Asia Pacific,Singapore,77,3.64
8.222.181.117,443,443,true,SIN,Asia Pacific,Singapore,109,3.63
47.237.95.13,2087,2087,true,SIN,Asia Pacific,Singapore,41,3.62
8.217.145.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,3.62
47.237.82.15,2096,2096,true,SIN,Asia Pacific,Singapore,107,3.61
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,127,3.60
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,76,3.59
47.237.121.38,2087,2087,true,SIN,Asia Pacific,Singapore,68,3.58
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,50,3.58
8.219.170.232,443,443,true,SIN,Asia Pacific,Singapore,68,3.58
8.217.250.5,8443,8443,true,HKG,Asia Pacific,Hong Kong,46,3.57
47.237.95.140,2087,2087,true,SIN,Asia Pacific,Singapore,40,3.57
8.218.146.204,2083,2083,true,HKG,Asia Pacific,Hong Kong,103,3.57
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,52,3.57
8.218.74.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,3.57
8.219.78.1,2053,2053,true,SIN,Asia Pacific,Singapore,88,3.56
8.219.5.10,2053,2053,true,SIN,Asia Pacific,Singapore,68,3.56
47.237.125.8,2083,2083,true,SIN,Asia Pacific,Singapore,111,3.56
8.210.207.214,2083,2083,true,HKG,Asia Pacific,Hong Kong,107,3.55
8.222.179.231,8443,8443,true,SIN,Asia Pacific,Singapore,72,3.55
8.219.237.250,2096,2096,true,SIN,Asia Pacific,Singapore,59,3.54
8.218.18.132,8443,8443,true,HKG,Asia Pacific,Hong Kong,93,3.53
47.76.249.116,80,443,true,SIN,Asia Pacific,Singapore,33,3.52
8.218.65.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,125,3.52
47.76.233.67,2096,2096,true,HKG,Asia Pacific,Hong Kong,40,3.52
8.210.192.93,2083,2083,true,HKG,Asia Pacific,Hong Kong,89,3.51
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,59,3.51
47.236.117.48,2083,2083,true,SIN,Asia Pacific,Singapore,108,3.51
47.250.12.116,80,443,true,SIN,Asia Pacific,Singapore,47,3.51
8.210.9.129,8443,8443,true,HKG,Asia Pacific,Hong Kong,75,3.50
8.222.222.64,2053,2053,true,SIN,Asia Pacific,Singapore,14,3.50
8.217.123.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,105,3.49
8.218.174.118,2083,2083,true,HKG,Asia Pacific,Hong Kong,51,3.48
47.237.81.112,2053,2053,true,SIN,Asia Pacific,Singapore,51,3.48
8.217.207.60,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,3.47
47.236.172.95,2053,2053,true,SIN,Asia Pacific,Singapore,108,3.47
8.222.183.242,2053,2053,true,SIN,Asia Pacific,Singapore,73,3.46
8.218.18.235,2087,2087,true,HKG,Asia Pacific,Hong Kong,111,3.45
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,136,3.44
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,164,3.44
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,74,3.43
47.236.171.205,2083,2083,true,SIN,Asia Pacific,Singapore,142,3.43
8.219.237.250,2087,2087,true,SIN,Asia Pacific,Singapore,98,3.43
47.250.49.148,80,443,true,SIN,Asia Pacific,Singapore,71,3.42
47.242.125.241,2083,2083,true,HKG,Asia Pacific,Hong Kong,70,3.42
47.237.95.13,2096,2096,true,SIN,Asia Pacific,Singapore,45,3.42
47.242.42.153,2083,2083,true,HKG,Asia Pacific,Hong Kong,122,3.41
47.236.87.246,2053,2053,true,SIN,Asia Pacific,Singapore,80,3.41
47.236.121.23,2053,2053,true,SIN,Asia Pacific,Singapore,101,3.41
8.218.181.189,2096,2096,true,HKG,Asia Pacific,Hong Kong,70,3.39
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,111,3.38
8.219.50.180,443,443,true,SIN,Asia Pacific,Singapore,36,3.38
8.218.243.95,2096,2096,true,HKG,Asia Pacific,Hong Kong,146,3.37
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,44,3.35
47.236.97.90,2053,2053,true,SIN,Asia Pacific,Singapore,112,3.35
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,35,3.35
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,67,3.33
8.219.83.201,2053,2053,true,SIN,Asia Pacific,Singapore,91,3.33
47.245.84.124,2096,2096,true,SIN,Asia Pacific,Singapore,56,3.33
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,98,3.32
8.222.215.228,8443,8443,true,SIN,Asia Pacific,Singapore,55,3.32
47.243.206.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,3.31
8.222.179.231,2087,2087,true,SIN,Asia Pacific,Singapore,74,3.30
8.219.4.122,2087,2087,true,SIN,Asia Pacific,Singapore,50,3.29
8.218.1.163,2087,2087,true,HKG,Asia Pacific,Hong Kong,149,3.29
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,53,3.29
8.218.155.238,2096,2096,true,HKG,Asia Pacific,Hong Kong,107,3.28
8.210.164.75,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,3.27
47.242.202.230,443,443,true,HKG,Asia Pacific,Hong Kong,104,3.27
8.222.222.64,2096,2096,true,SIN,Asia Pacific,Singapore,83,3.27
47.237.94.140,2053,2053,true,SIN,Asia Pacific,Singapore,46,3.26
8.210.164.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,40,3.26
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,78,3.26
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,79,3.25
8.222.183.242,2083,2083,true,SIN,Asia Pacific,Singapore,40,3.25
47.250.14.147,80,443,true,SIN,Asia Pacific,Singapore,83,3.25
8.219.97.50,2053,2053,true,SIN,Asia Pacific,Singapore,79,3.24
47.237.82.15,2053,2053,true,SIN,Asia Pacific,Singapore,30,3.23
8.218.174.118,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,3.23
8.218.11.90,2053,2053,true,HKG,Asia Pacific,Hong Kong,120,3.22
47.245.114.163,8443,8443,true,SIN,Asia Pacific,Singapore,45,3.22
47.243.70.186,2083,2083,true,HKG,Asia Pacific,Hong Kong,87,3.22
47.76.123.69,80,443,true,SIN,Asia Pacific,Singapore,42,3.21
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,3.21
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,85,3.20
47.242.79.71,8443,8443,true,HKG,Asia Pacific,Hong Kong,117,3.20
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,46,3.19
47.236.117.48,2053,2053,true,SIN,Asia Pacific,Singapore,116,3.16
8.219.66.156,2083,2083,true,NRT,Asia Pacific,Tokyo,153,3.16
47.238.6.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,3.15
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,3.15
8.218.65.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,3.15
8.219.193.202,2053,2053,true,SIN,Asia Pacific,Singapore,120,3.15
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,93,3.14
47.236.150.13,2053,2053,true,SIN,Asia Pacific,Singapore,39,3.12
8.219.51.211,2096,2096,true,SIN,Asia Pacific,Singapore,76,3.11
8.219.193.202,8443,8443,true,SIN,Asia Pacific,Singapore,171,3.11
47.76.26.26,2083,2083,true,HKG,Asia Pacific,Hong Kong,110,3.10
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,54,3.10
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,41,3.09
8.217.232.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,51,3.09
8.217.159.210,8443,8443,true,HKG,Asia Pacific,Hong Kong,98,3.09
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,3.08
8.218.11.90,2083,2083,true,HKG,Asia Pacific,Hong Kong,41,3.08
47.237.125.8,2053,2053,true,SIN,Asia Pacific,Singapore,59,3.07
47.236.172.95,8443,8443,true,SIN,Asia Pacific,Singapore,195,3.07
47.243.91.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,39,3.07
8.222.184.198,2087,2087,true,SIN,Asia Pacific,Singapore,101,3.05
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,3.04
8.222.187.4,2053,2053,true,SIN,Asia Pacific,Singapore,161,3.04
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,127,3.04
47.245.102.52,2053,2053,true,SIN,Asia Pacific,Singapore,72,3.03
47.238.6.102,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,3.03
47.237.14.220,8443,8443,true,SIN,Asia Pacific,Singapore,115,3.03
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,46,3.03
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,53,3.02
8.219.229.190,8443,8443,true,SIN,Asia Pacific,Singapore,48,3.02
47.242.176.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,57,3.00
8.210.244.38,8443,8443,true,HKG,Asia Pacific,Hong Kong,50,3.00
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,42,3.00
8.219.4.122,2083,2083,true,SIN,Asia Pacific,Singapore,94,2.99
8.210.164.75,2083,2083,true,HKG,Asia Pacific,Hong Kong,112,2.99
47.245.96.80,2096,2096,true,SIN,Asia Pacific,Singapore,31,2.99
8.219.240.160,2087,2087,true,SIN,Asia Pacific,Singapore,125,2.98
47.237.100.206,8443,8443,true,SIN,Asia Pacific,Singapore,38,2.98
47.90.141.204,443,443,true,LAX,North America,Los Angeles,237,2.97
8.218.74.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,56,2.97
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,2.97
47.237.100.206,8443,8443,true,SIN,Asia Pacific,Singapore,62,2.97
47.237.10.1,8443,8443,true,SIN,Asia Pacific,Singapore,132,2.97
47.76.80.72,2083,2083,true,HKG,Asia Pacific,Hong Kong,112,2.96
47.245.96.80,2083,2083,true,SIN,Asia Pacific,Singapore,36,2.95
47.242.36.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,73,2.95
8.218.243.95,2087,2087,true,HKG,Asia Pacific,Hong Kong,127,2.94
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,56,2.92
47.76.227.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,67,2.91
8.219.235.164,2053,2053,true,SIN,Asia Pacific,Singapore,79,2.91
8.210.175.109,8443,8443,true,HKG,Asia Pacific,Hong Kong,140,2.90
8.222.222.64,2087,2087,true,SIN,Asia Pacific,Singapore,110,2.89
47.243.243.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,2.89
47.237.121.38,8443,8443,true,SIN,Asia Pacific,Singapore,61,2.89
8.222.183.242,2087,2087,true,SIN,Asia Pacific,Singapore,51,2.88
8.222.215.228,2096,2096,true,SIN,Asia Pacific,Singapore,54,2.88
8.219.248.47,2083,2083,true,SIN,Asia Pacific,Singapore,56,2.88
8.222.181.117,2083,2083,true,SIN,Asia Pacific,Singapore,47,2.86
47.80.2.19,443,443,true,ICN,Asia Pacific,Seoul,67,2.86
47.250.13.77,80,443,true,SIN,Asia Pacific,Singapore,50,2.86
47.238.245.39,80,443,true,SIN,Asia Pacific,Singapore,36,2.85
