IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.122.55,2053,2053,true,SIN,Asia Pacific,Singapore,82,4.75
8.219.200.145,443,443,true,SIN,Asia Pacific,Singapore,115,4.74
47.237.92.26,2087,2087,true,SIN,Asia Pacific,Singapore,77,4.74
8.219.210.57,2083,2083,true,SIN,Asia Pacific,Singapore,89,4.73
47.76.33.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,4.73
47.237.94.140,2096,2096,true,SIN,Asia Pacific,Singapore,233,4.73
8.218.65.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,55,4.72
8.219.113.232,2083,2083,true,SIN,Asia Pacific,Singapore,77,4.72
47.236.83.239,2087,2087,true,SIN,Asia Pacific,Singapore,39,4.72
47.237.95.13,8443,8443,true,SIN,Asia Pacific,Singapore,158,4.72
47.242.232.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,4.71
8.222.193.65,2053,2053,true,SIN,Asia Pacific,Singapore,93,4.70
47.236.83.239,2053,2053,true,SIN,Asia Pacific,Singapore,77,4.70
8.210.101.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,4.70
8.219.5.10,2096,2096,true,SIN,Asia Pacific,Singapore,15,4.69
8.219.210.57,2087,2087,true,SIN,Asia Pacific,Singapore,80,4.69
8.219.51.211,2083,2083,true,SIN,Asia Pacific,Singapore,54,4.69
47.245.84.124,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.68
47.245.118.70,2096,2096,true,SIN,Asia Pacific,Singapore,26,4.67
47.245.86.230,2096,2096,true,SIN,Asia Pacific,Singapore,18,4.65
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,23,4.65
47.236.144.156,2083,2083,true,SIN,Asia Pacific,Singapore,16,4.65
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,82,4.65
47.236.166.131,2096,2096,true,SIN,Asia Pacific,Singapore,96,4.64
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,4.64
47.236.75.113,2096,2096,true,SIN,Asia Pacific,Singapore,47,4.63
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,4.63
47.236.146.249,2096,2096,true,SIN,Asia Pacific,Singapore,86,4.62
8.219.111.147,8443,8443,true,SIN,Asia Pacific,Singapore,60,4.62
8.219.78.188,8443,8443,true,SIN,Asia Pacific,Singapore,75,4.62
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,70,4.60
47.245.102.52,8443,8443,true,SIN,Asia Pacific,Singapore,19,4.60
47.236.146.249,2087,2087,true,SIN,Asia Pacific,Singapore,84,4.60
47.243.90.180,2087,2087,true,HKG,Asia Pacific,Hong Kong,51,4.60
8.219.97.50,2053,2053,true,SIN,Asia Pacific,Singapore,65,4.59
47.237.0.31,8443,8443,true,SIN,Asia Pacific,Singapore,42,4.59
8.219.100.168,2053,2053,true,SIN,Asia Pacific,Singapore,54,4.58
47.245.84.124,2083,2083,true,SIN,Asia Pacific,Singapore,48,4.58
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,68,4.57
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,4.55
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,86,4.55
8.222.244.192,2053,2053,true,SIN,Asia Pacific,Singapore,104,4.54
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,41,4.54
47.251.74.226,443,443,true,LAX,North America,Los Angeles,190,4.54
8.219.189.143,2083,2083,true,SIN,Asia Pacific,Singapore,119,4.53
8.210.119.11,2096,2096,true,HKG,Asia Pacific,Hong Kong,59,4.53
8.219.117.198,2053,2053,true,SIN,Asia Pacific,Singapore,87,4.53
8.219.132.64,2087,2087,true,SIN,Asia Pacific,Singapore,125,4.53
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,56,4.52
47.237.81.112,2087,2087,true,SIN,Asia Pacific,Singapore,60,4.52
8.219.84.214,8443,8443,true,SIN,Asia Pacific,Singapore,93,4.51
8.219.222.98,2053,2053,true,SIN,Asia Pacific,Singapore,96,4.51
47.237.92.26,2096,2096,true,SIN,Asia Pacific,Singapore,111,4.50
8.210.156.6,2087,2087,true,HKG,Asia Pacific,Hong Kong,39,4.50
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,96,4.49
8.222.137.192,2053,2053,true,SIN,Asia Pacific,Singapore,76,4.48
47.76.33.40,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,4.48
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,79,4.47
8.219.147.58,2087,2087,true,SIN,Asia Pacific,Singapore,68,4.47
8.219.174.213,2096,2096,true,SIN,Asia Pacific,Singapore,68,4.46
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,62,4.46
8.219.67.133,2053,2053,true,SIN,Asia Pacific,Singapore,128,4.45
47.243.203.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,4.45
8.222.215.228,2083,2083,true,SIN,Asia Pacific,Singapore,92,4.44
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,152,4.44
47.243.183.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,4.44
